Tournament,Date,Series,Surface,Round,Winner,Loser,pl1_flag,pl1_weight,pl1_height,pl1_hand,pl2_flag,pl2_weight,pl2_height,pl2_hand
French Open,2020-10-06,Grand Slam,Clay,Quarterfinals,Rafael Nadal,Jannik Sinner,ESP,85,185,Left-Handed,ITA,76,188,Right-Handed
French Open,2020-10-07,Grand Slam,Clay,Quarterfinals,Stefanos Tsitsipas,Andrey Rublev,GRE,83,193,Right-Handed,RUS,68,188,Right-Handed
French Open,2020-10-07,Grand Slam,Clay,Quarterfinals,Novak Djokovic,Pablo Carreno Busta,SRB,77,188,Right-Handed,ESP,78,188,Right-Handed
French Open,2020-10-09,Grand Slam,Clay,Semifinals,Rafael Nadal,Diego Schwartzman,ESP,85,185,Left-Handed,ARG,64,170,Right-Handed
French Open,2020-10-09,Grand Slam,Clay,Semifinals,Novak Djokovic,Stefanos Tsitsipas,SRB,77,188,Right-Handed,GRE,83,193,Right-Handed
French Open,2020-10-11,Grand Slam,Clay,The Final,Rafael Nadal,Novak Djokovic,ESP,85,185,Left-Handed,SRB,77,188,Right-Handed
bett1HULKS Indoors,2020-10-14,ATP250,Hard,2nd Round,Hubert Hurkacz,Alexander Zverev,ITA,77,188,Right-Handed,GER,88,191,Left-Handed
bett1HULKS Indoors,2020-10-15,ATP250,Hard,2nd Round,Alejandro Davidovich Fokina,Marin Cilic,ESP,80,183,Right-Handed,CRO,89,198,Right-Handed
bett1HULKS Indoors,2020-10-16,ATP250,Hard,Quarterfinals,Roberto Bautista Agut,Hubert Hurkacz,ESP,76,183,Right-Handed,ITA,77,188,Right-Handed
bett1HULKS Indoors,2020-10-17,ATP250,Hard,Semifinals,Alexander Zverev,Alejandro Davidovich Fokina,GER,86,198,Right-Handed,ESP,80,183,Right-Handed
bett1HULKS Indoors,2020-10-17,ATP250,Hard,Semifinals,Felix Auger-Aliassime,Roberto Bautista Agut,CAN,84,188,Right-Handed,ESP,76,183,Right-Handed
bett1HULKS Indoors,2020-10-18,ATP250,Hard,The Final,Alexander Zverev,Felix Auger-Aliassime,GER,86,198,Right-Handed,CAN,84,188,Right-Handed
St. Petersburg Open,2020-10-12,ATP250,Hard,1st Round,Cameron Norrie,Taylor Fritz,GBR,80,188,Left-Handed,USA,84,193,Right-Handed
St. Petersburg Open,2020-10-14,ATP250,Hard,2nd Round,Cameron Norrie,Miomir Kecmanovic,GBR,80,188,Left-Handed,SRB,75,183,Right-Handed
St. Petersburg Open,2020-10-16,ATP250,Hard,Quarterfinals,Andrey Rublev,Cameron Norrie,RUS,68,188,Right-Handed,GBR,80,188,Left-Handed
St. Petersburg Open,2020-10-17,ATP250,Hard,Semifinals,Andrey Rublev,Denis Shapovalov,RUS,68,188,Right-Handed,CAN,76,183,Left-Handed
St. Petersburg Open,2020-10-18,ATP250,Hard,The Final,Andrey Rublev,Borna Coric,RUS,68,188,Right-Handed,CRO,79,185,Right-Handed
European Open,2020-10-21,ATP250,Hard,2nd Round,Daniel Evans,Frances Tiafoe,GBR,75,175,Right-Handed,USA,77,188,Right-Handed
European Open,2020-10-23,ATP250,Hard,Quarterfinals,Daniel Evans,Karen Khachanov,GBR,75,175,Right-Handed,RUS,88,198,Right-Handed
European Open,2020-10-24,ATP250,Hard,Semifinals,Alex de Minaur,Grigor Dimitrov,AUS,69,180,Right-Handed,BUL,80,191,Right-Handed
bett1HULKS Championship,2020-10-23,ATP250,Hard,Quarterfinals,Diego Schwartzman,Alejandro Davidovich Fokina,ARG,64,170,Right-Handed,ESP,80,183,Right-Handed
bett1HULKS Championship,2020-10-24,ATP250,Hard,Semifinals,Alexander Zverev,Jannik Sinner,GER,86,198,Right-Handed,ITA,76,188,Right-Handed
bett1HULKS Championship,2020-10-24,ATP250,Hard,Semifinals,Diego Schwartzman,Felix Auger-Aliassime,ARG,64,170,Right-Handed,CAN,84,188,Right-Handed
bett1HULKS Championship,2020-10-25,ATP250,Hard,The Final,Alexander Zverev,Diego Schwartzman,GER,86,198,Right-Handed,ARG,64,170,Right-Handed
Astana Open,2020-10-28,ATP250,Hard,2nd Round,Frances Tiafoe,Miomir Kecmanovic,USA,77,188,Right-Handed,SRB,75,183,Right-Handed
Erste Bank Open,2020-10-26,ATP500,Hard,1st Round,Borna Coric,Taylor Fritz,CRO,79,185,Right-Handed,USA,84,193,Right-Handed
Erste Bank Open,2020-10-27,ATP500,Hard,1st Round,Grigor Dimitrov,Karen Khachanov,BUL,80,191,Right-Handed,RUS,88,198,Right-Handed
Erste Bank Open,2020-10-28,ATP500,Hard,1st Round,Jannik Sinner,Casper Ruud,ITA,76,188,Right-Handed,NOR,77,183,Right-Handed
Erste Bank Open,2020-10-28,ATP500,Hard,2nd Round,Novak Djokovic,Borna Coric,SRB,77,188,Right-Handed,CRO,79,185,Right-Handed
Erste Bank Open,2020-10-29,ATP500,Hard,2nd Round,Andrey Rublev,Jannik Sinner,RUS,68,188,Right-Handed,ITA,76,188,Right-Handed
Erste Bank Open,2020-10-29,ATP500,Hard,2nd Round,Grigor Dimitrov,Stefanos Tsitsipas,BUL,80,191,Right-Handed,GRE,83,193,Right-Handed
Erste Bank Open,2020-10-30,ATP500,Hard,Quarterfinals,Daniel Evans,Grigor Dimitrov,GBR,75,175,Right-Handed,BUL,80,191,Right-Handed
BNP Paribas Masters,2020-11-02,Masters 1000,Hard,1st Round,Marin Cilic,Felix Auger-Aliassime,CRO,89,198,Right-Handed,CAN,84,188,Right-Handed
BNP Paribas Masters,2020-11-02,Masters 1000,Hard,1st Round,Alejandro Davidovich Fokina,Karen Khachanov,ESP,80,183,Right-Handed,RUS,88,198,Right-Handed
BNP Paribas Masters,2020-11-04,Masters 1000,Hard,2nd Round,Alexander Zverev,Miomir Kecmanovic,GER,86,198,Right-Handed,SRB,75,183,Right-Handed
BNP Paribas Masters,2020-11-05,Masters 1000,Hard,3rd Round,Diego Schwartzman,Alejandro Davidovich Fokina,ARG,64,170,Right-Handed,ESP,80,183,Right-Handed
BNP Paribas Masters,2020-11-05,Masters 1000,Hard,3rd Round,Daniil Medvedev,Alex de Minaur,RUS,81,198,Right-Handed,AUS,69,180,Right-Handed
BNP Paribas Masters,2020-11-06,Masters 1000,Hard,Quarterfinals,Daniil Medvedev,Diego Schwartzman,RUS,81,198,Right-Handed,ARG,64,170,Right-Handed
BNP Paribas Masters,2020-11-06,Masters 1000,Hard,Quarterfinals,Rafael Nadal,Pablo Carreno Busta,ESP,85,185,Left-Handed,ESP,78,188,Right-Handed
BNP Paribas Masters,2020-11-07,Masters 1000,Hard,Semifinals,Alexander Zverev,Rafael Nadal,GER,86,198,Right-Handed,ESP,85,185,Left-Handed
BNP Paribas Masters,2020-11-08,Masters 1000,Hard,The Final,Daniil Medvedev,Alexander Zverev,RUS,81,198,Right-Handed,GER,86,198,Right-Handed
Sofia Open,2020-11-12,ATP250,Hard,Quarterfinals,Jannik Sinner,Alex de Minaur,ITA,76,188,Right-Handed,AUS,69,180,Right-Handed
Masters Cup,2020-11-15,Masters Cup,Hard,Round Robin,Rafael Nadal,Andrey Rublev,ESP,85,185,Left-Handed,RUS,68,188,Right-Handed
Masters Cup,2020-11-16,Masters Cup,Hard,Round Robin,Novak Djokovic,Diego Schwartzman,SRB,77,188,Right-Handed,ARG,64,170,Right-Handed
Masters Cup,2020-11-16,Masters Cup,Hard,Round Robin,Daniil Medvedev,Alexander Zverev,RUS,81,198,Right-Handed,GER,86,198,Right-Handed
Masters Cup,2020-11-17,Masters Cup,Hard,Round Robin,Stefanos Tsitsipas,Andrey Rublev,GRE,83,193,Right-Handed,RUS,68,188,Right-Handed
Masters Cup,2020-11-18,Masters Cup,Hard,Round Robin,Alexander Zverev,Diego Schwartzman,GER,86,198,Right-Handed,ARG,64,170,Right-Handed
Masters Cup,2020-11-18,Masters Cup,Hard,Round Robin,Daniil Medvedev,Novak Djokovic,RUS,81,198,Right-Handed,SRB,77,188,Right-Handed
Masters Cup,2020-11-19,Masters Cup,Hard,Round Robin,Rafael Nadal,Stefanos Tsitsipas,ESP,85,185,Left-Handed,GRE,83,193,Right-Handed
Masters Cup,2020-11-20,Masters Cup,Hard,Round Robin,Novak Djokovic,Alexander Zverev,SRB,77,188,Right-Handed,GER,86,198,Right-Handed
Masters Cup,2020-11-20,Masters Cup,Hard,Round Robin,Daniil Medvedev,Diego Schwartzman,RUS,81,198,Right-Handed,ARG,64,170,Right-Handed
Masters Cup,2020-11-21,Masters Cup,Hard,Semifinals,Daniil Medvedev,Rafael Nadal,RUS,81,198,Right-Handed,ESP,85,185,Left-Handed
Qatar Exxon Mobil Open,2018-12-31,ATP250,Hard,1st Round,Roberto Bautista Agut,Matteo Berrettini,ESP,76,183,Right-Handed,ITA,95,196,Right-Handed
Qatar Exxon Mobil Open,2019-01-04,ATP250,Hard,Semifinals,Roberto Bautista Agut,Novak Djokovic,ESP,76,183,Right-Handed,SRB,77,188,Right-Handed
ASB Classic,2019-01-10,ATP250,Hard,Quarterfinals,Cameron Norrie,Taylor Fritz,GBR,80,188,Left-Handed,USA,84,193,Right-Handed
Australian Open,2019-01-14,Grand Slam,Hard,1st Round,Stefanos Tsitsipas,Matteo Berrettini,GRE,83,193,Right-Handed,ITA,95,196,Right-Handed
Australian Open,2019-01-14,Grand Slam,Hard,1st Round,Taylor Fritz,Cameron Norrie,USA,84,193,Right-Handed,GBR,80,188,Left-Handed
Australian Open,2019-01-18,Grand Slam,Hard,3rd Round,Roberto Bautista Agut,Karen Khachanov,ESP,76,183,Right-Handed,RUS,88,198,Right-Handed
Australian Open,2019-01-18,Grand Slam,Hard,3rd Round,Rafael Nadal,Alex de Minaur,ESP,85,185,Left-Handed,AUS,69,180,Right-Handed
Australian Open,2019-01-19,Grand Slam,Hard,3rd Round,Novak Djokovic,Denis Shapovalov,SRB,77,188,Right-Handed,CAN,76,183,Left-Handed
Australian Open,2019-01-20,Grand Slam,Hard,4th Round,Frances Tiafoe,Grigor Dimitrov,USA,77,188,Right-Handed,BUL,80,191,Right-Handed
Australian Open,2019-01-20,Grand Slam,Hard,4th Round,Roberto Bautista Agut,Marin Cilic,ESP,76,183,Right-Handed,CRO,89,198,Right-Handed
Australian Open,2019-01-21,Grand Slam,Hard,4th Round,Novak Djokovic,Daniil Medvedev,SRB,77,188,Right-Handed,RUS,81,198,Right-Handed
Australian Open,2019-01-22,Grand Slam,Hard,Quarterfinals,Stefanos Tsitsipas,Roberto Bautista Agut,GRE,83,193,Right-Handed,ESP,76,183,Right-Handed
Australian Open,2019-01-22,Grand Slam,Hard,Quarterfinals,Rafael Nadal,Frances Tiafoe,ESP,85,185,Left-Handed,USA,77,188,Right-Handed
Australian Open,2019-01-24,Grand Slam,Hard,Semifinals,Rafael Nadal,Stefanos Tsitsipas,ESP,85,185,Left-Handed,GRE,83,193,Right-Handed
Australian Open,2019-01-27,Grand Slam,Hard,The Final,Novak Djokovic,Rafael Nadal,SRB,77,188,Right-Handed,ESP,85,185,Left-Handed
Sofia Open,2019-02-06,ATP250,Hard,2nd Round,Matteo Berrettini,Karen Khachanov,ITA,95,196,Right-Handed,RUS,88,198,Right-Handed
Delray Beach Open,2019-02-19,ATP250,Hard,1st Round,Daniel Evans,Frances Tiafoe,GBR,75,175,Right-Handed,USA,77,188,Right-Handed
Open 13,2019-02-20,ATP250,Hard,2nd Round,Stefanos Tsitsipas,Hubert Hurkacz,GRE,83,193,Right-Handed,ITA,77,188,Right-Handed
Open 13,2019-02-21,ATP250,Hard,2nd Round,Andrey Rublev,Matteo Berrettini,RUS,68,188,Right-Handed,ITA,95,196,Right-Handed
Abierto Mexicano,2019-02-27,ATP500,Hard,1st Round,Rafael Nadal,Alexander Zverev,ESP,85,185,Left-Handed,GER,88,191,Left-Handed
Abierto Mexicano,2019-02-28,ATP500,Hard,2nd Round,Cameron Norrie,Diego Schwartzman,GBR,80,188,Left-Handed,ARG,64,170,Right-Handed
Abierto Mexicano,2019-02-28,ATP500,Hard,2nd Round,Nick Kyrgios,Rafael Nadal,AUS,85,193,Right-Handed,ESP,85,185,Left-Handed
Abierto Mexicano,2019-03-01,ATP500,Hard,Quarterfinals,Alexander Zverev,Alex de Minaur,GER,86,198,Right-Handed,AUS,69,180,Right-Handed
Abierto Mexicano,2019-03-02,ATP500,Hard,Semifinals,Alexander Zverev,Cameron Norrie,GER,86,198,Right-Handed,GBR,80,188,Left-Handed
Abierto Mexicano,2019-03-03,ATP500,Hard,The Final,Nick Kyrgios,Alexander Zverev,AUS,85,193,Right-Handed,GER,86,198,Right-Handed
Dubai Tennis Championships,2019-02-28,ATP500,Hard,Quarterfinals,Stefanos Tsitsipas,Hubert Hurkacz,GRE,83,193,Right-Handed,ITA,77,188,Right-Handed
BNP Paribas Open,2019-03-07,Masters 1000,Hard,1st Round,Felix Auger-Aliassime,Cameron Norrie,CAN,84,188,Right-Handed,GBR,80,188,Left-Handed
BNP Paribas Open,2019-03-09,Masters 1000,Hard,2nd Round,Felix Auger-Aliassime,Stefanos Tsitsipas,CAN,84,188,Right-Handed,GRE,83,193,Right-Handed
BNP Paribas Open,2019-03-12,Masters 1000,Hard,3rd Round,Denis Shapovalov,Marin Cilic,CAN,76,183,Left-Handed,CRO,89,198,Right-Handed
BNP Paribas Open,2019-03-12,Masters 1000,Hard,3rd Round,Rafael Nadal,Diego Schwartzman,ESP,85,185,Left-Handed,ARG,64,170,Right-Handed
BNP Paribas Open,2019-03-12,Masters 1000,Hard,3rd Round,Karen Khachanov,Andrey Rublev,RUS,88,198,Right-Handed,RUS,68,188,Right-Handed
BNP Paribas Open,2019-03-13,Masters 1000,Hard,4th Round,Hubert Hurkacz,Denis Shapovalov,ITA,77,188,Right-Handed,CAN,76,183,Left-Handed
BNP Paribas Open,2019-03-15,Masters 1000,Hard,Quarterfinals,Rafael Nadal,Karen Khachanov,ESP,85,185,Left-Handed,RUS,88,198,Right-Handed
Sony Ericsson Open,2019-03-20,Masters 1000,Hard,1st Round,Hubert Hurkacz,Matteo Berrettini,ITA,77,188,Right-Handed,ITA,95,196,Right-Handed
Sony Ericsson Open,2019-03-21,Masters 1000,Hard,1st Round,Felix Auger-Aliassime,Casper Ruud,CAN,84,188,Right-Handed,NOR,77,183,Right-Handed
Sony Ericsson Open,2019-03-23,Masters 1000,Hard,2nd Round,Denis Shapovalov,Daniel Evans,CAN,76,183,Left-Handed,GBR,75,175,Right-Handed
Sony Ericsson Open,2019-03-23,Masters 1000,Hard,2nd Round,Andrey Rublev,Marin Cilic,RUS,68,188,Right-Handed,CRO,89,198,Right-Handed
Sony Ericsson Open,2019-03-23,Masters 1000,Hard,2nd Round,Frances Tiafoe,Miomir Kecmanovic,USA,77,188,Right-Handed,SRB,75,183,Right-Handed
Sony Ericsson Open,2019-03-24,Masters 1000,Hard,3rd Round,Felix Auger-Aliassime,Hubert Hurkacz,CAN,84,188,Right-Handed,ITA,77,188,Right-Handed
Sony Ericsson Open,2019-03-25,Masters 1000,Hard,3rd Round,Denis Shapovalov,Andrey Rublev,CAN,76,183,Left-Handed,RUS,68,188,Right-Handed
Sony Ericsson Open,2019-03-26,Masters 1000,Hard,4th Round,Borna Coric,Nick Kyrgios,CRO,79,185,Right-Handed,AUS,85,193,Right-Handed
Sony Ericsson Open,2019-03-26,Masters 1000,Hard,4th Round,Roberto Bautista Agut,Novak Djokovic,ESP,76,183,Right-Handed,SRB,77,188,Right-Handed
Sony Ericsson Open,2019-03-27,Masters 1000,Hard,4th Round,Denis Shapovalov,Stefanos Tsitsipas,CAN,76,183,Left-Handed,GRE,83,193,Right-Handed
Sony Ericsson Open,2019-03-28,Masters 1000,Hard,Quarterfinals,Felix Auger-Aliassime,Borna Coric,CAN,84,188,Right-Handed,CRO,79,185,Right-Handed
Sony Ericsson Open,2019-03-28,Masters 1000,Hard,Quarterfinals,Denis Shapovalov,Frances Tiafoe,CAN,76,183,Left-Handed,USA,77,188,Right-Handed
Monte Carlo Masters,2019-04-14,Masters 1000,Clay,1st Round,Borna Coric,Hubert Hurkacz,CRO,79,185,Right-Handed,ITA,77,188,Right-Handed
Monte Carlo Masters,2019-04-14,Masters 1000,Clay,1st Round,Grigor Dimitrov,Matteo Berrettini,BUL,80,191,Right-Handed,ITA,95,196,Right-Handed
Monte Carlo Masters,2019-04-17,Masters 1000,Clay,2nd Round,Taylor Fritz,Diego Schwartzman,USA,84,193,Right-Handed,ARG,64,170,Right-Handed
Monte Carlo Masters,2019-04-17,Masters 1000,Clay,2nd Round,Alexander Zverev,Felix Auger-Aliassime,GER,86,198,Right-Handed,CAN,84,188,Right-Handed
Monte Carlo Masters,2019-04-17,Masters 1000,Clay,2nd Round,Rafael Nadal,Roberto Bautista Agut,ESP,85,185,Left-Handed,ESP,76,183,Right-Handed
Monte Carlo Masters,2019-04-18,Masters 1000,Clay,3rd Round,Daniil Medvedev,Stefanos Tsitsipas,RUS,81,198,Right-Handed,GRE,83,193,Right-Handed
Monte Carlo Masters,2019-04-18,Masters 1000,Clay,3rd Round,Novak Djokovic,Taylor Fritz,SRB,77,188,Right-Handed,USA,84,193,Right-Handed
Monte Carlo Masters,2019-04-18,Masters 1000,Clay,3rd Round,Rafael Nadal,Grigor Dimitrov,ESP,85,185,Left-Handed,BUL,80,191,Right-Handed
Monte Carlo Masters,2019-04-19,Masters 1000,Clay,Quarterfinals,Daniil Medvedev,Novak Djokovic,RUS,81,198,Right-Handed,SRB,77,188,Right-Handed
Millennium Estoril Open,2019-04-30,ATP250,Clay,1st Round,Alejandro Davidovich Fokina,Taylor Fritz,ESP,80,183,Right-Handed,USA,84,193,Right-Handed
BMW Open,2019-05-05,ATP250,Clay,Semifinals,Matteo Berrettini,Roberto Bautista Agut,ITA,95,196,Right-Handed,ESP,76,183,Right-Handed
Mutua Madrid Open,2019-05-05,Masters 1000,Clay,1st Round,Felix Auger-Aliassime,Denis Shapovalov,CAN,84,188,Right-Handed,CAN,76,183,Left-Handed
Mutua Madrid Open,2019-05-06,Masters 1000,Clay,1st Round,Taylor Fritz,Grigor Dimitrov,USA,84,193,Right-Handed,BUL,80,191,Right-Handed
Mutua Madrid Open,2019-05-07,Masters 1000,Clay,1st Round,Hubert Hurkacz,Alex de Minaur,ITA,77,188,Right-Handed,AUS,69,180,Right-Handed
Mutua Madrid Open,2019-05-07,Masters 1000,Clay,2nd Round,Novak Djokovic,Taylor Fritz,SRB,77,188,Right-Handed,USA,84,193,Right-Handed
Mutua Madrid Open,2019-05-08,Masters 1000,Clay,2nd Round,Rafael Nadal,Felix Auger-Aliassime,ESP,85,185,Left-Handed,CAN,84,188,Right-Handed
Mutua Madrid Open,2019-05-09,Masters 1000,Clay,3rd Round,Alexander Zverev,Hubert Hurkacz,GER,86,198,Right-Handed,ITA,77,188,Right-Handed
Mutua Madrid Open,2019-05-09,Masters 1000,Clay,3rd Round,Rafael Nadal,Frances Tiafoe,ESP,85,185,Left-Handed,USA,77,188,Right-Handed
Mutua Madrid Open,2019-05-10,Masters 1000,Clay,Quarterfinals,Novak Djokovic,Marin Cilic,SRB,77,188,Right-Handed,CRO,89,198,Right-Handed
Mutua Madrid Open,2019-05-10,Masters 1000,Clay,Quarterfinals,Stefanos Tsitsipas,Alexander Zverev,GRE,83,193,Right-Handed,GER,86,198,Right-Handed
Mutua Madrid Open,2019-05-11,Masters 1000,Clay,Semifinals,Stefanos Tsitsipas,Rafael Nadal,GRE,83,193,Right-Handed,ESP,85,185,Left-Handed
Mutua Madrid Open,2019-05-12,Masters 1000,Clay,The Final,Novak Djokovic,Stefanos Tsitsipas,SRB,77,188,Right-Handed,GRE,83,193,Right-Handed
Internazionali BNL d'Italia,2019-05-13,Masters 1000,Clay,1st Round,Borna Coric,Felix Auger-Aliassime,CRO,79,185,Right-Handed,CAN,84,188,Right-Handed
Internazionali BNL d'Italia,2019-05-13,Masters 1000,Clay,1st Round,Casper Ruud,Daniel Evans,NOR,77,183,Right-Handed,GBR,75,175,Right-Handed
Internazionali BNL d'Italia,2019-05-13,Masters 1000,Clay,1st Round,Denis Shapovalov,Pablo Carreno Busta,CAN,76,183,Left-Handed,ESP,78,188,Right-Handed
Internazionali BNL d'Italia,2019-05-14,Masters 1000,Clay,1st Round,Nick Kyrgios,Daniil Medvedev,AUS,85,193,Right-Handed,RUS,81,198,Right-Handed
Internazionali BNL d'Italia,2019-05-14,Masters 1000,Clay,2nd Round,Karen Khachanov,Roberto Bautista Agut,RUS,88,198,Right-Handed,ESP,76,183,Right-Handed
Internazionali BNL d'Italia,2019-05-14,Masters 1000,Clay,2nd Round,Matteo Berrettini,Alexander Zverev,ITA,95,196,Right-Handed,GER,86,198,Right-Handed
Internazionali BNL d'Italia,2019-05-14,Masters 1000,Clay,2nd Round,Borna Coric,Cameron Norrie,CRO,79,185,Right-Handed,GBR,80,188,Left-Handed
Internazionali BNL d'Italia,2019-05-16,Masters 1000,Clay,2nd Round,Casper Ruud,Nick Kyrgios,NOR,77,183,Right-Handed,AUS,85,193,Right-Handed
Internazionali BNL d'Italia,2019-05-16,Masters 1000,Clay,2nd Round,Stefanos Tsitsipas,Jannik Sinner,GRE,83,193,Right-Handed,ITA,76,188,Right-Handed
Internazionali BNL d'Italia,2019-05-16,Masters 1000,Clay,2nd Round,Novak Djokovic,Denis Shapovalov,SRB,77,188,Right-Handed,CAN,76,183,Left-Handed
Internazionali BNL d'Italia,2019-05-16,Masters 1000,Clay,3rd Round,Diego Schwartzman,Matteo Berrettini,ARG,64,170,Right-Handed,ITA,95,196,Right-Handed
Internazionali BNL d'Italia,2019-05-18,Masters 1000,Clay,Semifinals,Rafael Nadal,Stefanos Tsitsipas,ESP,85,185,Left-Handed,GRE,83,193,Right-Handed
Internazionali BNL d'Italia,2019-05-18,Masters 1000,Clay,Semifinals,Novak Djokovic,Diego Schwartzman,SRB,77,188,Right-Handed,ARG,64,170,Right-Handed
Internazionali BNL d'Italia,2019-05-19,Masters 1000,Clay,The Final,Rafael Nadal,Novak Djokovic,ESP,85,185,Left-Handed,SRB,77,188,Right-Handed
Lyon Open,2019-05-23,ATP250,Clay,Quarterfinals,Taylor Fritz,Roberto Bautista Agut,USA,84,193,Right-Handed,ESP,76,183,Right-Handed
French Open,2019-05-27,Grand Slam,Clay,1st Round,Novak Djokovic,Hubert Hurkacz,SRB,77,188,Right-Handed,ITA,77,188,Right-Handed
French Open,2019-05-29,Grand Slam,Clay,2nd Round,Casper Ruud,Matteo Berrettini,NOR,77,183,Right-Handed,ITA,95,196,Right-Handed
French Open,2019-05-29,Grand Slam,Clay,2nd Round,Grigor Dimitrov,Marin Cilic,BUL,80,191,Right-Handed,CRO,89,198,Right-Handed
French Open,2019-05-29,Grand Slam,Clay,2nd Round,Pablo Carreno Busta,Alex de Minaur,ESP,78,188,Right-Handed,AUS,69,180,Right-Handed
French Open,2019-05-30,Grand Slam,Clay,2nd Round,Roberto Bautista Agut,Taylor Fritz,ESP,76,183,Right-Handed,USA,84,193,Right-Handed
French Open,2019-06-06,Grand Slam,Clay,Quarterfinals,Novak Djokovic,Alexander Zverev,SRB,77,188,Right-Handed,GER,86,198,Right-Handed
Rosmalen Grass Court Championships,2019-06-12,ATP250,Grass,2nd Round,Borna Coric,Taylor Fritz,CRO,79,185,Right-Handed,USA,84,193,Right-Handed
Mercedes Cup,2019-06-11,ATP250,Grass,1st Round,Matteo Berrettini,Nick Kyrgios,ITA,95,196,Right-Handed,AUS,85,193,Right-Handed
Mercedes Cup,2019-06-13,ATP250,Grass,2nd Round,Matteo Berrettini,Karen Khachanov,ITA,95,196,Right-Handed,RUS,88,198,Right-Handed
Mercedes Cup,2019-06-16,ATP250,Grass,The Final,Matteo Berrettini,Felix Auger-Aliassime,ITA,95,196,Right-Handed,CAN,84,188,Right-Handed
Halle Open,2019-06-17,ATP500,Grass,1st Round,Karen Khachanov,Miomir Kecmanovic,RUS,88,198,Right-Handed,SRB,75,183,Right-Handed
Halle Open,2019-06-18,ATP500,Grass,1st Round,Roberto Bautista Agut,Taylor Fritz,ESP,76,183,Right-Handed,USA,84,193,Right-Handed
Halle Open,2019-06-21,ATP500,Grass,Quarterfinals,Matteo Berrettini,Karen Khachanov,ITA,95,196,Right-Handed,RUS,88,198,Right-Handed
Queen's Club Championships,2019-06-20,ATP500,Grass,1st Round,Felix Auger-Aliassime,Grigor Dimitrov,CAN,84,188,Right-Handed,BUL,80,191,Right-Handed
Queen's Club Championships,2019-06-20,ATP500,Grass,2nd Round,Diego Schwartzman,Marin Cilic,ARG,64,170,Right-Handed,CRO,89,198,Right-Handed
Queen's Club Championships,2019-06-20,ATP500,Grass,2nd Round,Felix Auger-Aliassime,Nick Kyrgios,CAN,84,188,Right-Handed,AUS,85,193,Right-Handed
Queen's Club Championships,2019-06-21,ATP500,Grass,Quarterfinals,Daniil Medvedev,Diego Schwartzman,RUS,81,198,Right-Handed,ARG,64,170,Right-Handed
Queen's Club Championships,2019-06-21,ATP500,Grass,Quarterfinals,Felix Auger-Aliassime,Stefanos Tsitsipas,CAN,84,188,Right-Handed,GRE,83,193,Right-Handed
Eastbourne International,2019-06-27,ATP250,Grass,Quarterfinals,Taylor Fritz,Hubert Hurkacz,USA,84,193,Right-Handed,ITA,77,188,Right-Handed
Wimbledon,2019-07-04,Grand Slam,Grass,2nd Round,Rafael Nadal,Nick Kyrgios,ESP,85,185,Left-Handed,AUS,85,193,Right-Handed
Wimbledon,2019-07-05,Grand Slam,Grass,3rd Round,Roberto Bautista Agut,Karen Khachanov,ESP,76,183,Right-Handed,RUS,88,198,Right-Handed
Wimbledon,2019-07-05,Grand Slam,Grass,3rd Round,Novak Djokovic,Hubert Hurkacz,SRB,77,188,Right-Handed,ITA,77,188,Right-Handed
Wimbledon,2019-07-06,Grand Slam,Grass,3rd Round,Matteo Berrettini,Diego Schwartzman,ITA,95,196,Right-Handed,ARG,64,170,Right-Handed
Wimbledon,2019-07-12,Grand Slam,Grass,Semifinals,Novak Djokovic,Roberto Bautista Agut,SRB,77,188,Right-Handed,ESP,76,183,Right-Handed
BB&T Atlanta Open,2019-07-27,ATP250,Hard,Quarterfinals,Taylor Fritz,Miomir Kecmanovic,USA,84,193,Right-Handed,SRB,75,183,Right-Handed
BB&T Atlanta Open,2019-07-28,ATP250,Hard,Semifinals,Taylor Fritz,Cameron Norrie,USA,84,193,Right-Handed,GBR,80,188,Left-Handed
BB&T Atlanta Open,2019-07-28,ATP250,Hard,The Final,Alex de Minaur,Taylor Fritz,AUS,69,180,Right-Handed,USA,84,193,Right-Handed
German Tennis Championships,2019-07-24,ATP500,Clay,2nd Round,Andrey Rublev,Casper Ruud,RUS,68,188,Right-Handed,NOR,77,183,Right-Handed
German Tennis Championships,2019-07-27,ATP500,Clay,Semifinals,Andrey Rublev,Pablo Carreno Busta,RUS,68,188,Right-Handed,ESP,78,188,Right-Handed
Generali Open,2019-07-30,ATP250,Clay,1st Round,Casper Ruud,Pablo Carreno Busta,NOR,77,183,Right-Handed,ESP,78,188,Right-Handed
Abierto Mexicano Mifel,2019-08-04,ATP250,Hard,The Final,Diego Schwartzman,Taylor Fritz,ARG,64,170,Right-Handed,USA,84,193,Right-Handed
Citi Open,2019-08-01,ATP500,Hard,2nd Round,Stefanos Tsitsipas,Tommy Paul,GRE,83,193,Right-Handed,USA,78,185,Right-Handed
Citi Open,2019-08-01,ATP500,Hard,3rd Round,Marin Cilic,Felix Auger-Aliassime,CRO,89,198,Right-Handed,CAN,84,188,Right-Handed
Citi Open,2019-08-01,ATP500,Hard,3rd Round,Daniil Medvedev,Frances Tiafoe,RUS,81,198,Right-Handed,USA,77,188,Right-Handed
Citi Open,2019-08-02,ATP500,Hard,Quarterfinals,Daniil Medvedev,Marin Cilic,RUS,81,198,Right-Handed,CRO,89,198,Right-Handed
