Tournament,Date,Series,Surface,Round,Winner,Loser
Australian Open,2021-02-12,Grand Slam,Hard,3rd Round,Felix Auger-Aliassime,Denis Shapovalov
Australian Open,2021-02-12,Grand Slam,Hard,3rd Round,Novak Djokovic,Taylor Fritz
Australian Open,2021-02-13,Grand Slam,Hard,3rd Round,Matteo Berrettini,Karen Khachanov
Australian Open,2021-02-13,Grand Slam,Hard,3rd Round,Rafael Nadal,Cameron Norrie
Australian Open,2021-02-15,Grand Slam,Hard,4th Round,Andrey Rublev,Casper Ruud
Australian Open,2021-02-15,Grand Slam,Hard,4th Round,Stefanos Tsitsipas,Matteo Berrettini
Australian Open,2021-02-16,Grand Slam,Hard,Quarterfinals,Novak Djokovic,Alexander Zverev
Australian Open,2021-02-17,Grand Slam,Hard,Quarterfinals,Daniil Medvedev,Andrey Rublev
Australian Open,2021-02-17,Grand Slam,Hard,Quarterfinals,Stefanos Tsitsipas,Rafael Nadal
Australian Open,2021-02-19,Grand Slam,Hard,Semifinals,Daniil Medvedev,Stefanos Tsitsipas
Australian Open,2021-02-21,Grand Slam,Hard,The Final,Novak Djokovic,Daniil Medvedev
Cordoba Open,2021-02-25,ATP250,Clay,2nd Round,Francisco Cerundolo,Miomir Kecmanovic
Open Sud de France,2021-02-25,ATP250,Hard,2nd Round,Alejandro Davidovich Fokina,Hubert Hurkacz
Argentina Open,2021-03-06,ATP250,Clay,Semifinals,Diego Schwartzman,Miomir Kecmanovic
Argentina Open,2021-03-07,ATP250,Clay,The Final,Diego Schwartzman,Francisco Cerundolo
ABN AMRO World Tennis Tournament,2021-03-03,ATP500,Hard,1st Round,Alejandro Davidovich Fokina,Roberto Bautista Agut
ABN AMRO World Tennis Tournament,2021-03-03,ATP500,Hard,2nd Round,Karen Khachanov,Cameron Norrie
ABN AMRO World Tennis Tournament,2021-03-04,ATP500,Hard,2nd Round,Stefanos Tsitsipas,Hubert Hurkacz
ABN AMRO World Tennis Tournament,2021-03-05,ATP500,Hard,Quarterfinals,Stefanos Tsitsipas,Karen Khachanov
ABN AMRO World Tennis Tournament,2021-03-06,ATP500,Hard,Semifinals,Andrey Rublev,Stefanos Tsitsipas
Qatar Exxon Mobil Open,2021-03-11,ATP250,Hard,Quarterfinals,Taylor Fritz,Denis Shapovalov
Qatar Exxon Mobil Open,2021-03-12,ATP250,Hard,Semifinals,Roberto Bautista Agut,Andrey Rublev
Open 13,2021-03-09,ATP250,Hard,1st Round,Alejandro Davidovich Fokina,Stefanos Tsitsipas
Open 13,2021-03-12,ATP250,Hard,Quarterfinals,Daniil Medvedev,Jannik Sinner
Abierto Mexicano,2021-03-16,ATP500,Hard,1st Round,Alexander Zverev,Carlos Alcaraz
Abierto Mexicano,2021-03-17,ATP500,Hard,1st Round,Lorenzo Musetti,Diego Schwartzman
Abierto Mexicano,2021-03-18,ATP500,Hard,2nd Round,Lorenzo Musetti,Frances Tiafoe
Abierto Mexicano,2021-03-18,ATP500,Hard,2nd Round,Grigor Dimitrov,Miomir Kecmanovic
Abierto Mexicano,2021-03-19,ATP500,Hard,Quarterfinals,Alexander Zverev,Casper Ruud
Abierto Mexicano,2021-03-19,ATP500,Hard,Quarterfinals,Stefanos Tsitsipas,Felix Auger-Aliassime
Abierto Mexicano,2021-03-19,ATP500,Hard,Quarterfinals,Lorenzo Musetti,Grigor Dimitrov
Abierto Mexicano,2021-03-20,ATP500,Hard,Semifinals,Stefanos Tsitsipas,Lorenzo Musetti
Abierto Mexicano,2021-03-21,ATP500,Hard,The Final,Alexander Zverev,Stefanos Tsitsipas
Dubai Tennis Championships,2021-03-17,ATP500,Hard,3rd Round,Denis Shapovalov,Hubert Hurkacz
Dubai Tennis Championships,2021-03-17,ATP500,Hard,3rd Round,Jannik Sinner,Roberto Bautista Agut
Dubai Tennis Championships,2021-03-17,ATP500,Hard,3rd Round,Andrey Rublev,Taylor Fritz
Miami Open,2021-03-26,Masters 1000,Hard,2nd Round,Cameron Norrie,Grigor Dimitrov
Miami Open,2021-03-26,Masters 1000,Hard,2nd Round,Frances Tiafoe,Daniel Evans
Miami Open,2021-03-28,Masters 1000,Hard,3rd Round,Jannik Sinner,Karen Khachanov
Miami Open,2021-03-29,Masters 1000,Hard,3rd Round,Taylor Fritz,Cameron Norrie
Miami Open,2021-03-29,Masters 1000,Hard,3rd Round,Marin Cilic,Lorenzo Musetti
Miami Open,2021-03-29,Masters 1000,Hard,3rd Round,Hubert Hurkacz,Denis Shapovalov
Miami Open,2021-03-30,Masters 1000,Hard,4th Round,Daniil Medvedev,Frances Tiafoe
Miami Open,2021-03-31,Masters 1000,Hard,4th Round,Andrey Rublev,Marin Cilic
Miami Open,2021-04-01,Masters 1000,Hard,Quarterfinals,Roberto Bautista Agut,Daniil Medvedev
Miami Open,2021-04-01,Masters 1000,Hard,Quarterfinals,Hubert Hurkacz,Stefanos Tsitsipas
Miami Open,2021-04-02,Masters 1000,Hard,Semifinals,Jannik Sinner,Roberto Bautista Agut
Miami Open,2021-04-03,Masters 1000,Hard,Semifinals,Hubert Hurkacz,Andrey Rublev
Miami Open,2021-04-04,Masters 1000,Hard,The Final,Hubert Hurkacz,Jannik Sinner
Sardegna Open,2021-04-08,ATP250,Hard,2nd Round,Lorenzo Musetti,Daniel Evans
AnyTech365 Andalucia Open,2021-04-09,ATP250,Hard,Quarterfinals,Carlos Alcaraz,Casper Ruud
Monte Carlo Masters,2021-04-12,Masters 1000,Clay,1st Round,Alejandro Davidovich Fokina,Alex de Minaur
Monte Carlo Masters,2021-04-13,Masters 1000,Clay,1st Round,Roberto Bautista Agut,Taylor Fritz
Monte Carlo Masters,2021-04-13,Masters 1000,Clay,1st Round,Casper Ruud,Holger Rune
Monte Carlo Masters,2021-04-13,Masters 1000,Clay,2nd Round,Alejandro Davidovich Fokina,Matteo Berrettini
Monte Carlo Masters,2021-04-14,Masters 1000,Clay,2nd Round,Novak Djokovic,Jannik Sinner
Monte Carlo Masters,2021-04-14,Masters 1000,Clay,2nd Round,Casper Ruud,Diego Schwartzman
Monte Carlo Masters,2021-04-14,Masters 1000,Clay,2nd Round,Daniel Evans,Hubert Hurkacz
Monte Carlo Masters,2021-04-14,Masters 1000,Clay,2nd Round,Roberto Bautista Agut,Tommy Paul
Monte Carlo Masters,2021-04-14,Masters 1000,Clay,2nd Round,Pablo Carreno Busta,Karen Khachanov
Monte Carlo Masters,2021-04-15,Masters 1000,Clay,3rd Round,Daniel Evans,Novak Djokovic
Monte Carlo Masters,2021-04-15,Masters 1000,Clay,3rd Round,Rafael Nadal,Grigor Dimitrov
Monte Carlo Masters,2021-04-15,Masters 1000,Clay,3rd Round,Andrey Rublev,Roberto Bautista Agut
Monte Carlo Masters,2021-04-15,Masters 1000,Clay,3rd Round,Casper Ruud,Pablo Carreno Busta
Monte Carlo Masters,2021-04-16,Masters 1000,Clay,Quarterfinals,Stefanos Tsitsipas,Alejandro Davidovich Fokina
Monte Carlo Masters,2021-04-16,Masters 1000,Clay,Quarterfinals,Andrey Rublev,Rafael Nadal
Monte Carlo Masters,2021-04-17,Masters 1000,Clay,Semifinals,Stefanos Tsitsipas,Daniel Evans
Monte Carlo Masters,2021-04-17,Masters 1000,Clay,Semifinals,Andrey Rublev,Casper Ruud
Monte Carlo Masters,2021-04-18,Masters 1000,Clay,The Final,Stefanos Tsitsipas,Andrey Rublev
Barcelona Open,2021-04-20,ATP500,Clay,1st Round,Frances Tiafoe,Carlos Alcaraz
Barcelona Open,2021-04-20,ATP500,Clay,2nd Round,Cameron Norrie,Karen Khachanov
Barcelona Open,2021-04-21,ATP500,Clay,2nd Round,Felix Auger-Aliassime,Lorenzo Musetti
Barcelona Open,2021-04-21,ATP500,Clay,2nd Round,Diego Schwartzman,Frances Tiafoe
Barcelona Open,2021-04-22,ATP500,Clay,3rd Round,Felix Auger-Aliassime,Denis Shapovalov
Barcelona Open,2021-04-22,ATP500,Clay,3rd Round,Jannik Sinner,Roberto Bautista Agut
Barcelona Open,2021-04-22,ATP500,Clay,3rd Round,Stefanos Tsitsipas,Alex de Minaur
Barcelona Open,2021-04-23,ATP500,Clay,Quarterfinals,Jannik Sinner,Andrey Rublev
Barcelona Open,2021-04-23,ATP500,Clay,Quarterfinals,Stefanos Tsitsipas,Felix Auger-Aliassime
Barcelona Open,2021-04-23,ATP500,Clay,Quarterfinals,Rafael Nadal,Cameron Norrie
Barcelona Open,2021-04-23,ATP500,Clay,Quarterfinals,Pablo Carreno Busta,Diego Schwartzman
Barcelona Open,2021-04-24,ATP500,Clay,Semifinals,Stefanos Tsitsipas,Jannik Sinner
Barcelona Open,2021-04-24,ATP500,Clay,Semifinals,Rafael Nadal,Pablo Carreno Busta
Barcelona Open,2021-04-25,ATP500,Clay,The Final,Rafael Nadal,Stefanos Tsitsipas
Serbia Open,2021-04-23,ATP250,Clay,Quarterfinals,Novak Djokovic,Miomir Kecmanovic
Millennium Estoril Open,2021-04-27,ATP250,Clay,1st Round,Marin Cilic,Carlos Alcaraz
Millennium Estoril Open,2021-05-01,ATP250,Clay,Semifinals,Cameron Norrie,Marin Cilic
Mutua Madrid Open,2021-05-04,Masters 1000,Clay,1st Round,Casper Ruud,Felix Auger-Aliassime
Mutua Madrid Open,2021-05-04,Masters 1000,Clay,2nd Round,Andrey Rublev,Tommy Paul
Mutua Madrid Open,2021-05-05,Masters 1000,Clay,2nd Round,Daniil Medvedev,Alejandro Davidovich Fokina
Mutua Madrid Open,2021-05-05,Masters 1000,Clay,2nd Round,Rafael Nadal,Carlos Alcaraz
Mutua Madrid Open,2021-05-06,Masters 1000,Clay,3rd Round,Casper Ruud,Stefanos Tsitsipas
Mutua Madrid Open,2021-05-06,Masters 1000,Clay,3rd Round,Alexander Zverev,Daniel Evans
Mutua Madrid Open,2021-05-07,Masters 1000,Clay,Quarterfinals,Alexander Zverev,Rafael Nadal
Mutua Madrid Open,2021-05-08,Masters 1000,Clay,Semifinals,Matteo Berrettini,Casper Ruud
Mutua Madrid Open,2021-05-09,Masters 1000,Clay,The Final,Alexander Zverev,Matteo Berrettini
Internazionali BNL d'Italia,2021-05-10,Masters 1000,Clay,1st Round,Taylor Fritz,Daniel Evans
Internazionali BNL d'Italia,2021-05-10,Masters 1000,Clay,1st Round,Lorenzo Musetti,Hubert Hurkacz
Internazionali BNL d'Italia,2021-05-11,Masters 1000,Clay,1st Round,Alejandro Davidovich Fokina,Grigor Dimitrov
Internazionali BNL d'Italia,2021-05-11,Masters 1000,Clay,1st Round,Roberto Bautista Agut,Tommy Paul
Internazionali BNL d'Italia,2021-05-11,Masters 1000,Clay,2nd Round,Novak Djokovic,Taylor Fritz
Internazionali BNL d'Italia,2021-05-11,Masters 1000,Clay,2nd Round,Felix Auger-Aliassime,Diego Schwartzman
Internazionali BNL d'Italia,2021-05-12,Masters 1000,Clay,2nd Round,Alejandro Davidovich Fokina,Cameron Norrie
Internazionali BNL d'Italia,2021-05-12,Masters 1000,Clay,2nd Round,Stefanos Tsitsipas,Marin Cilic
Internazionali BNL d'Italia,2021-05-12,Masters 1000,Clay,2nd Round,Rafael Nadal,Jannik Sinner
Internazionali BNL d'Italia,2021-05-13,Masters 1000,Clay,3rd Round,Novak Djokovic,Alejandro Davidovich Fokina
Internazionali BNL d'Italia,2021-05-13,Masters 1000,Clay,3rd Round,Stefanos Tsitsipas,Matteo Berrettini
Internazionali BNL d'Italia,2021-05-13,Masters 1000,Clay,3rd Round,Rafael Nadal,Denis Shapovalov
Internazionali BNL d'Italia,2021-05-13,Masters 1000,Clay,3rd Round,Andrey Rublev,Roberto Bautista Agut
Internazionali BNL d'Italia,2021-05-14,Masters 1000,Clay,Quarterfinals,Rafael Nadal,Alexander Zverev
Internazionali BNL d'Italia,2021-05-15,Masters 1000,Clay,Quarterfinals,Novak Djokovic,Stefanos Tsitsipas
Internazionali BNL d'Italia,2021-05-16,Masters 1000,Clay,The Final,Rafael Nadal,Novak Djokovic
Geneva Open,2021-05-22,ATP250,Clay,The Final,Casper Ruud,Denis Shapovalov
Lyon Open,2021-05-18,ATP250,Clay,1st Round,Lorenzo Musetti,Felix Auger-Aliassime
Lyon Open,2021-05-20,ATP250,Clay,2nd Round,Stefanos Tsitsipas,Tommy Paul
Lyon Open,2021-05-22,ATP250,Clay,Semifinals,Stefanos Tsitsipas,Lorenzo Musetti
Lyon Open,2021-05-22,ATP250,Clay,Semifinals,Cameron Norrie,Karen Khachanov
Lyon Open,2021-05-23,ATP250,Clay,The Final,Stefanos Tsitsipas,Cameron Norrie
French Open,2021-05-30,Grand Slam,Clay,1st Round,Miomir Kecmanovic,Daniel Evans
French Open,2021-06-02,Grand Slam,Clay,2nd Round,Daniil Medvedev,Tommy Paul
French Open,2021-06-04,Grand Slam,Clay,3rd Round,Alejandro Davidovich Fokina,Casper Ruud
French Open,2021-06-05,Grand Slam,Clay,3rd Round,Rafael Nadal,Cameron Norrie
French Open,2021-06-06,Grand Slam,Clay,4th Round,Stefanos Tsitsipas,Pablo Carreno Busta
French Open,2021-06-07,Grand Slam,Clay,4th Round,Novak Djokovic,Lorenzo Musetti
French Open,2021-06-07,Grand Slam,Clay,4th Round,Rafael Nadal,Jannik Sinner
French Open,2021-06-08,Grand Slam,Clay,Quarterfinals,Alexander Zverev,Alejandro Davidovich Fokina
French Open,2021-06-08,Grand Slam,Clay,Quarterfinals,Stefanos Tsitsipas,Daniil Medvedev
French Open,2021-06-09,Grand Slam,Clay,Quarterfinals,Rafael Nadal,Diego Schwartzman
French Open,2021-06-09,Grand Slam,Clay,Quarterfinals,Novak Djokovic,Matteo Berrettini
French Open,2021-06-11,Grand Slam,Clay,Semifinals,Stefanos Tsitsipas,Alexander Zverev
French Open,2021-06-11,Grand Slam,Clay,Semifinals,Novak Djokovic,Rafael Nadal
French Open,2021-06-13,Grand Slam,Clay,The Final,Novak Djokovic,Stefanos Tsitsipas
Mercedes Cup,2021-06-11,ATP250,Grass,Quarterfinals,Marin Cilic,Denis Shapovalov
Mercedes Cup,2021-06-13,ATP250,Grass,The Final,Marin Cilic,Felix Auger-Aliassime
Halle Open,2021-06-15,ATP500,Grass,1st Round,Andrey Rublev,Karen Khachanov
Halle Open,2021-06-15,ATP500,Grass,1st Round,Felix Auger-Aliassime,Hubert Hurkacz
Queen's Club Championships,2021-06-18,ATP500,Grass,Quarterfinals,Matteo Berrettini,Daniel Evans
Queen's Club Championships,2021-06-18,ATP500,Grass,Quarterfinals,Alex de Minaur,Marin Cilic
Queen's Club Championships,2021-06-19,ATP500,Grass,Quarterfinals,Denis Shapovalov,Frances Tiafoe
Queen's Club Championships,2021-06-19,ATP500,Grass,Semifinals,Matteo Berrettini,Alex de Minaur
Queen's Club Championships,2021-06-19,ATP500,Grass,Semifinals,Cameron Norrie,Denis Shapovalov
Queen's Club Championships,2021-06-20,ATP500,Grass,The Final,Matteo Berrettini,Cameron Norrie
Mallorca Championships,2021-06-24,ATP250,Grass,Quarterfinals,Daniil Medvedev,Casper Ruud
Mallorca Championships,2021-06-25,ATP250,Grass,Semifinals,Daniil Medvedev,Pablo Carreno Busta
Wimbledon,2021-06-28,Grand Slam,Grass,1st Round,Frances Tiafoe,Stefanos Tsitsipas
Wimbledon,2021-06-29,Grand Slam,Grass,1st Round,Hubert Hurkacz,Lorenzo Musetti
Wimbledon,2021-07-01,Grand Slam,Grass,2nd Round,Roberto Bautista Agut,Miomir Kecmanovic
Wimbledon,2021-07-01,Grand Slam,Grass,2nd Round,Daniil Medvedev,Carlos Alcaraz
Wimbledon,2021-07-02,Grand Slam,Grass,3rd Round,Karen Khachanov,Frances Tiafoe
Wimbledon,2021-07-03,Grand Slam,Grass,3rd Round,Alexander Zverev,Taylor Fritz
Wimbledon,2021-07-03,Grand Slam,Grass,3rd Round,Felix Auger-Aliassime,Nick Kyrgios
Wimbledon,2021-07-03,Grand Slam,Grass,3rd Round,Daniil Medvedev,Marin Cilic
Wimbledon,2021-07-05,Grand Slam,Grass,4th Round,Denis Shapovalov,Roberto Bautista Agut
Wimbledon,2021-07-05,Grand Slam,Grass,4th Round,Felix Auger-Aliassime,Alexander Zverev
Wimbledon,2021-07-06,Grand Slam,Grass,4th Round,Hubert Hurkacz,Daniil Medvedev
Wimbledon,2021-07-07,Grand Slam,Grass,Quarterfinals,Denis Shapovalov,Karen Khachanov
Wimbledon,2021-07-07,Grand Slam,Grass,Quarterfinals,Matteo Berrettini,Felix Auger-Aliassime
Wimbledon,2021-07-09,Grand Slam,Grass,Semifinals,Matteo Berrettini,Hubert Hurkacz
Wimbledon,2021-07-09,Grand Slam,Grass,Semifinals,Novak Djokovic,Denis Shapovalov
Wimbledon,2021-07-11,Grand Slam,Grass,The Final,Novak Djokovic,Matteo Berrettini
Nordea Open,2021-07-15,ATP250,Clay,2nd Round,Casper Ruud,Holger Rune
Mifel Open,2021-07-24,ATP250,Hard,Semifinals,Cameron Norrie,Taylor Fritz
BB&T Atlanta Open,2021-07-30,ATP250,Hard,2nd Round,Cameron Norrie,Nick Kyrgios
Canadian Open,2021-08-10,Masters 1000,Hard,1st Round,Karen Khachanov,Cameron Norrie
Canadian Open,2021-08-10,Masters 1000,Hard,2nd Round,Casper Ruud,Marin Cilic
Canadian Open,2021-08-11,Masters 1000,Hard,2nd Round,Roberto Bautista Agut,Tommy Paul
Canadian Open,2021-08-12,Masters 1000,Hard,2nd Round,Frances Tiafoe,Denis Shapovalov
Canadian Open,2021-08-12,Masters 1000,Hard,3rd Round,Stefanos Tsitsipas,Karen Khachanov
Canadian Open,2021-08-12,Masters 1000,Hard,3rd Round,Roberto Bautista Agut,Diego Schwartzman
Canadian Open,2021-08-13,Masters 1000,Hard,Quarterfinals,Stefanos Tsitsipas,Casper Ruud
Canadian Open,2021-08-14,Masters 1000,Hard,Quarterfinals,Daniil Medvedev,Hubert Hurkacz
Western & Southern Financial Group Masters,2021-08-16,Masters 1000,Hard,1st Round,Diego Schwartzman,Daniel Evans
Western & Southern Financial Group Masters,2021-08-17,Masters 1000,Hard,1st Round,Hubert Hurkacz,Alejandro Davidovich Fokina
Western & Southern Financial Group Masters,2021-08-17,Masters 1000,Hard,1st Round,Grigor Dimitrov,Roberto Bautista Agut
Western & Southern Financial Group Masters,2021-08-18,Masters 1000,Hard,2nd Round,Felix Auger-Aliassime,Karen Khachanov
Western & Southern Financial Group Masters,2021-08-18,Masters 1000,Hard,2nd Round,Andrey Rublev,Marin Cilic
Western & Southern Financial Group Masters,2021-08-19,Masters 1000,Hard,2nd Round,Diego Schwartzman,Frances Tiafoe
Western & Southern Financial Group Masters,2021-08-19,Masters 1000,Hard,3rd Round,Daniil Medvedev,Grigor Dimitrov
Western & Southern Financial Group Masters,2021-08-19,Masters 1000,Hard,3rd Round,Pablo Carreno Busta,Hubert Hurkacz
Western & Southern Financial Group Masters,2021-08-19,Masters 1000,Hard,3rd Round,Casper Ruud,Diego Schwartzman
Western & Southern Financial Group Masters,2021-08-20,Masters 1000,Hard,3rd Round,Felix Auger-Aliassime,Matteo Berrettini
Western & Southern Financial Group Masters,2021-08-20,Masters 1000,Hard,Quarterfinals,Daniil Medvedev,Pablo Carreno Busta
Western & Southern Financial Group Masters,2021-08-21,Masters 1000,Hard,Quarterfinals,Stefanos Tsitsipas,Felix Auger-Aliassime
Western & Southern Financial Group Masters,2021-08-21,Masters 1000,Hard,Quarterfinals,Alexander Zverev,Casper Ruud
Western & Southern Financial Group Masters,2021-08-21,Masters 1000,Hard,Semifinals,Andrey Rublev,Daniil Medvedev
Western & Southern Financial Group Masters,2021-08-21,Masters 1000,Hard,Semifinals,Alexander Zverev,Stefanos Tsitsipas
Western & Southern Financial Group Masters,2021-08-22,Masters 1000,Hard,The Final,Alexander Zverev,Andrey Rublev
US Open,2021-08-30,Grand Slam,Hard,1st Round,Carlos Alcaraz,Cameron Norrie
US Open,2021-08-31,Grand Slam,Hard,1st Round,Roberto Bautista Agut,Nick Kyrgios
US Open,2021-09-01,Grand Slam,Hard,1st Round,Novak Djokovic,Holger Rune
US Open,2021-09-01,Grand Slam,Hard,1st Round,Taylor Fritz,Alex de Minaur
US Open,2021-09-03,Grand Slam,Hard,3rd Round,Carlos Alcaraz,Stefanos Tsitsipas
US Open,2021-09-04,Grand Slam,Hard,3rd Round,Felix Auger-Aliassime,Roberto Bautista Agut
US Open,2021-09-04,Grand Slam,Hard,3rd Round,Frances Tiafoe,Andrey Rublev
US Open,2021-09-05,Grand Slam,Hard,4th Round,Daniil Medvedev,Daniel Evans
US Open,2021-09-06,Grand Slam,Hard,4th Round,Felix Auger-Aliassime,Frances Tiafoe
US Open,2021-09-06,Grand Slam,Hard,4th Round,Alexander Zverev,Jannik Sinner
US Open,2021-09-08,Grand Slam,Hard,Quarterfinals,Felix Auger-Aliassime,Carlos Alcaraz
US Open,2021-09-09,Grand Slam,Hard,Quarterfinals,Novak Djokovic,Matteo Berrettini
US Open,2021-09-10,Grand Slam,Hard,Semifinals,Daniil Medvedev,Felix Auger-Aliassime
US Open,2021-09-11,Grand Slam,Hard,Semifinals,Novak Djokovic,Alexander Zverev
US Open,2021-09-12,Grand Slam,Hard,The Final,Daniil Medvedev,Novak Djokovic
Open de Moselle,2021-09-24,ATP250,Hard,Quarterfinals,Pablo Carreno Busta,Holger Rune
Open de Moselle,2021-09-26,ATP250,Hard,The Final,Hubert Hurkacz,Pablo Carreno Busta
San Diego Open,2021-09-30,ATP250,Hard,2nd Round,Cameron Norrie,Daniel Evans
San Diego Open,2021-09-30,ATP250,Hard,2nd Round,Denis Shapovalov,Taylor Fritz
San Diego Open,2021-10-01,ATP250,Hard,Quarterfinals,Cameron Norrie,Denis Shapovalov
San Diego Open,2021-10-01,ATP250,Hard,Quarterfinals,Andrey Rublev,Diego Schwartzman
San Diego Open,2021-10-02,ATP250,Hard,Semifinals,Cameron Norrie,Andrey Rublev
San Diego Open,2021-10-03,ATP250,Hard,Semifinals,Casper Ruud,Grigor Dimitrov
San Diego Open,2021-10-04,ATP250,Hard,The Final,Casper Ruud,Cameron Norrie
BNP Paribas Open,2021-10-11,Masters 1000,Hard,3rd Round,Diego Schwartzman,Daniel Evans
BNP Paribas Open,2021-10-12,Masters 1000,Hard,3rd Round,Hubert Hurkacz,Frances Tiafoe
BNP Paribas Open,2021-10-12,Masters 1000,Hard,3rd Round,Tommy Paul,Andrey Rublev
BNP Paribas Open,2021-10-12,Masters 1000,Hard,3rd Round,Cameron Norrie,Roberto Bautista Agut
BNP Paribas Open,2021-10-12,Masters 1000,Hard,3rd Round,Taylor Fritz,Matteo Berrettini
BNP Paribas Open,2021-10-12,Masters 1000,Hard,3rd Round,Karen Khachanov,Pablo Carreno Busta
BNP Paribas Open,2021-10-13,Masters 1000,Hard,4th Round,Diego Schwartzman,Casper Ruud
BNP Paribas Open,2021-10-13,Masters 1000,Hard,4th Round,Cameron Norrie,Tommy Paul
BNP Paribas Open,2021-10-13,Masters 1000,Hard,4th Round,Grigor Dimitrov,Daniil Medvedev
BNP Paribas Open,2021-10-13,Masters 1000,Hard,4th Round,Taylor Fritz,Jannik Sinner
BNP Paribas Open,2021-10-14,Masters 1000,Hard,4th Round,Stefanos Tsitsipas,Alex de Minaur
BNP Paribas Open,2021-10-14,Masters 1000,Hard,Quarterfinals,Cameron Norrie,Diego Schwartzman
BNP Paribas Open,2021-10-14,Masters 1000,Hard,Quarterfinals,Grigor Dimitrov,Hubert Hurkacz
BNP Paribas Open,2021-10-15,Masters 1000,Hard,Quarterfinals,Taylor Fritz,Alexander Zverev
BNP Paribas Open,2021-10-16,Masters 1000,Hard,Semifinals,Cameron Norrie,Grigor Dimitrov
European Open,2021-10-20,ATP250,Hard,2nd Round,Jannik Sinner,Lorenzo Musetti
European Open,2021-10-24,ATP250,Hard,The Final,Jannik Sinner,Diego Schwartzman
Kremlin Cup,2021-10-20,ATP250,Hard,2nd Round,Marin Cilic,Tommy Paul
St. Petersburg Open,2021-10-28,ATP250,Hard,2nd Round,Taylor Fritz,Tommy Paul
St. Petersburg Open,2021-10-28,ATP250,Hard,2nd Round,Marin Cilic,Karen Khachanov
St. Petersburg Open,2021-10-29,ATP250,Hard,Quarterfinals,Marin Cilic,Roberto Bautista Agut
St. Petersburg Open,2021-10-31,ATP250,Hard,The Final,Marin Cilic,Taylor Fritz
Vienna Open,2021-10-25,ATP500,Hard,1st Round,Carlos Alcaraz,Daniel Evans
Vienna Open,2021-10-26,ATP500,Hard,1st Round,Stefanos Tsitsipas,Grigor Dimitrov
Vienna Open,2021-10-28,ATP500,Hard,2nd Round,Felix Auger-Aliassime,Cameron Norrie
Vienna Open,2021-10-28,ATP500,Hard,2nd Round,Alexander Zverev,Alex de Minaur
Vienna Open,2021-10-28,ATP500,Hard,2nd Round,Frances Tiafoe,Stefanos Tsitsipas
Vienna Open,2021-10-29,ATP500,Hard,Quarterfinals,Carlos Alcaraz,Matteo Berrettini
Vienna Open,2021-10-29,ATP500,Hard,Quarterfinals,Alexander Zverev,Felix Auger-Aliassime
Vienna Open,2021-10-29,ATP500,Hard,Quarterfinals,Frances Tiafoe,Diego Schwartzman
Vienna Open,2021-10-29,ATP500,Hard,Quarterfinals,Jannik Sinner,Casper Ruud
Vienna Open,2021-10-30,ATP500,Hard,Semifinals,Alexander Zverev,Carlos Alcaraz
Vienna Open,2021-10-30,ATP500,Hard,Semifinals,Frances Tiafoe,Jannik Sinner
Vienna Open,2021-10-31,ATP500,Hard,The Final,Alexander Zverev,Frances Tiafoe
BNP Paribas Masters,2021-11-02,Masters 1000,Hard,1st Round,Marin Cilic,Alejandro Davidovich Fokina
BNP Paribas Masters,2021-11-03,Masters 1000,Hard,2nd Round,Taylor Fritz,Andrey Rublev
BNP Paribas Masters,2021-11-03,Masters 1000,Hard,2nd Round,Hubert Hurkacz,Tommy Paul
BNP Paribas Masters,2021-11-03,Masters 1000,Hard,2nd Round,Grigor Dimitrov,Karen Khachanov
BNP Paribas Masters,2021-11-03,Masters 1000,Hard,2nd Round,Carlos Alcaraz,Jannik Sinner
BNP Paribas Masters,2021-11-04,Masters 1000,Hard,3rd Round,Taylor Fritz,Cameron Norrie
BNP Paribas Masters,2021-11-04,Masters 1000,Hard,3rd Round,Alexander Zverev,Grigor Dimitrov
BNP Paribas Masters,2021-11-05,Masters 1000,Hard,Quarterfinals,Novak Djokovic,Taylor Fritz
BNP Paribas Masters,2021-11-05,Masters 1000,Hard,Quarterfinals,Alexander Zverev,Casper Ruud
BNP Paribas Masters,2021-11-06,Masters 1000,Hard,Semifinals,Novak Djokovic,Hubert Hurkacz
BNP Paribas Masters,2021-11-06,Masters 1000,Hard,Semifinals,Daniil Medvedev,Alexander Zverev
BNP Paribas Masters,2021-11-07,Masters 1000,Hard,The Final,Novak Djokovic,Daniil Medvedev
Stockholm Open,2021-11-10,ATP250,Hard,2nd Round,Daniel Evans,Alejandro Davidovich Fokina
Stockholm Open,2021-11-10,ATP250,Hard,2nd Round,Tommy Paul,Taylor Fritz
Stockholm Open,2021-11-11,ATP250,Hard,Quarterfinals,Frances Tiafoe,Daniel Evans
Stockholm Open,2021-11-12,ATP250,Hard,Semifinals,Tommy Paul,Frances Tiafoe
Stockholm Open,2021-11-12,ATP250,Hard,Semifinals,Denis Shapovalov,Felix Auger-Aliassime
Stockholm Open,2021-11-13,ATP250,Hard,The Final,Tommy Paul,Denis Shapovalov
Masters Cup,2021-11-14,Masters Cup,Hard,Round Robin,Daniil Medvedev,Hubert Hurkacz
Masters Cup,2021-11-14,Masters Cup,Hard,Round Robin,Matteo Berrettini,Alexander Zverev
Masters Cup,2021-11-15,Masters Cup,Hard,Round Robin,Novak Djokovic,Casper Ruud
Masters Cup,2021-11-15,Masters Cup,Hard,Round Robin,Andrey Rublev,Stefanos Tsitsipas
