Tournament,Date,Series,Surface,Round,Winner,Loser
Delray Beach Open,2018-02-25,ATP250,Hard,Semifinals,Frances Tiafoe,Denis Shapovalov
Open 13,2018-02-22,ATP250,Hard,2nd Round,Karen Khachanov,Alexander Zverev
Rio Open,2018-02-20,ATP500,Clay,1st Round,Diego Schwartzman,Casper Ruud
Dubai Tennis Championships,2018-03-01,ATP500,Hard,Quarterfinals,Roberto Bautista Agut,Borna Coric
BNP Paribas Open,2018-03-10,Masters 1000,Hard,2nd Round,Taylor Fritz,Andrey Rublev
BNP Paribas Open,2018-03-10,Masters 1000,Hard,2nd Round,Daniil Medvedev,Matteo Berrettini
BNP Paribas Open,2018-03-12,Masters 1000,Hard,3rd Round,Pablo Carreno Busta,Daniil Medvedev
BNP Paribas Open,2018-03-12,Masters 1000,Hard,3rd Round,Borna Coric,Roberto Bautista Agut
BNP Paribas Open,2018-03-14,Masters 1000,Hard,4th Round,Borna Coric,Taylor Fritz
Sony Ericsson Open,2018-03-22,Masters 1000,Hard,1st Round,Daniil Medvedev,Stefanos Tsitsipas
Sony Ericsson Open,2018-03-24,Masters 1000,Hard,2nd Round,Alexander Zverev,Daniil Medvedev
Sony Ericsson Open,2018-03-27,Masters 1000,Hard,4th Round,Borna Coric,Denis Shapovalov
Sony Ericsson Open,2018-03-28,Masters 1000,Hard,4th Round,Alexander Zverev,Nick Kyrgios
Sony Ericsson Open,2018-03-30,Masters 1000,Hard,Quarterfinals,Alexander Zverev,Borna Coric
Sony Ericsson Open,2018-03-31,Masters 1000,Hard,Semifinals,Alexander Zverev,Pablo Carreno Busta
Monte Carlo Masters,2018-04-15,Masters 1000,Clay,1st Round,Alexander Zverev,Felix Auger-Aliassime
Monte Carlo Masters,2018-04-16,Masters 1000,Clay,1st Round,Stefanos Tsitsipas,Denis Shapovalov
Monte Carlo Masters,2018-04-18,Masters 1000,Clay,2nd Round,Novak Djokovic,Borna Coric
Monte Carlo Masters,2018-04-19,Masters 1000,Clay,3rd Round,Rafael Nadal,Karen Khachanov
Monte Carlo Masters,2018-04-21,Masters 1000,Clay,Semifinals,Rafael Nadal,Grigor Dimitrov
Open Banco Sabadell ,2018-04-25,ATP500,Clay,2nd Round,Stefanos Tsitsipas,Diego Schwartzman
Open Banco Sabadell ,2018-04-27,ATP500,Clay,Quarterfinals,Pablo Carreno Busta,Grigor Dimitrov
Open Banco Sabadell ,2018-04-28,ATP500,Clay,Semifinals,Stefanos Tsitsipas,Pablo Carreno Busta
